Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,,Day_32,Day_33,Day_34,Day_35,Day_36,Day_37,Day_38,Day_39,Day_40,Day_41,Day_42,Day_43,Day_44,Day_45,Day_46,Day_47,Day_48,Day_49,Day_50,Day_51,Day_52,Day_53,Day_54,Day_55,Day_56,Day_57,Day_58,Day_59,Day_60,,Day_61,Day_62,Day_63,Day_64,Day_65,Day_66,Day_67,Day_68,Day_69,Day_70,Day_71,Day_72,Day_73,Day_74,Day_75,Day_76,Day_77,Day_78,Day_79,Day_80,Day_81,Day_82,Day_83,Day_84,Day_85,Day_86,Day_87,Day_88,Day_89,Day_90,Day_91,,Day_92,Day_93,Day_94,Day_95,Day_96,Day_97,Day_98,Day_99,Day_100,Day_101,Day_102,Day_103,Day_104,Day_105,Day_106,Day_107,Day_108,Day_109,Day_110,Day_111,Day_112,Day_113,Day_114,Day_115,Day_116,Day_117,Day_118,Day_119,Day_120,Day_121,,Day_122,Day_123,Day_124,Day_125,Day_126,Day_127,Day_128,Day_129,Day_130,Day_131,Day_132,Day_133,Day_134,Day_135,Day_136,Day_137,Day_138,Day_139,Day_140,Day_141,Day_142,Day_143,Day_144,Day_145,Day_146,Day_147,Day_148,Day_149,Day_150,Day_151,Day_152,,Day_153,Day_154,Day_155,Day_156,Day_157,Day_158,Day_159,Day_160,Day_161,Day_162,Day_163,Day_164,Day_165,Day_166,Day_167,Day_168,Day_169,Day_170,Day_171,Day_172,Day_173,Day_174,Day_175,Day_176,Day_177,Day_178,Day_179,Day_180,Day_181,Day_182,,Day_183,Day_184,Day_185,Day_186,Day_187,Day_188,Day_189,Day_190,Day_191,Day_192,Day_193,Day_194,Day_195,Day_196,Day_197,Day_198,Day_199,Day_200,Day_201,Day_202,Day_203,Day_204,Day_205,Day_206,Day_207,Day_208,Day_209,Day_210,Day_211,Day_212,Day_213,,Day_214,Day_215,Day_216,Day_217,Day_218,Day_219,Day_220,Day_221,Day_222,Day_223,Day_224,Day_225,Day_226,Day_227,Day_228,Day_229,Day_230,Day_231,Day_232,Day_233,Day_234,Day_235,Day_236,Day_237,Day_238,Day_239,Day_240,Day_241,Day_242,Day_243,Day_244,,Day_245,Day_246,Day_247,Day_248,Day_249,Day_250,Day_251,Day_252,Day_253,Day_254,Day_255,Day_256,Day_257,Day_258,Day_259,Day_260,Day_261,Day_262,Day_263,Day_264,Day_265,Day_266,Day_267,Day_268,Day_269,Day_270,Day_271,Day_272,Day_273,Day_274,,Day_275,Day_276,Day_277,Day_278,Day_279,Day_280,Day_281,Day_282,Day_283,Day_284,Day_285,Day_286,Day_287,Day_288,Day_289,Day_290,Day_291,Day_292,Day_293,Day_294,Day_295,Day_296,Day_297,Day_298,Day_299,Day_300,Day_301,Day_302,Day_303,Day_304,Day_305,,Day_306,Day_307,Day_308,Day_309,Day_310,Day_311,Day_312,Day_313,Day_314,Day_315,Day_316,Day_317,Day_318,Day_319,Day_320,Day_321,Day_322,Day_323,Day_324,Day_325,Day_326,Day_327,Day_328,Day_329,Day_330,Day_331,Day_332,Day_333,Day_334,Day_335,,Day_336,Day_337,Day_338,Day_339,Day_340,Day_341,Day_342,Day_343,Day_344,Day_345,Day_346,Day_347,Day_348,Day_349,Day_350,Day_351,Day_352,Day_353,Day_354,Day_355,Day_356,Day_357,Day_358,Day_359,Day_360,Day_361,Day_362,Day_363,Day_364,Day_365,Day_366,
0,0,0,27,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,1,7,6,0,0,,0,22,7,16,3,6,0,5,0,0,0,0,0,3,1,0,0,0,1,21,8,7,13,2,0,0,0,18,0,0,0,,0,27,0,0,0,0,1,7,0,28,0,8,0,0,0,0,11,7,14,6,23,6,6,5,1,2,6,3,1,8,,4,3,1,1,2,0,20,2,0,0,3,1,7,0,15,40,22,1,2,0,20,12,5,27,23,9,1,1,0,12,16,,5,2,18,4,2,9,6,0,44,0,1,2,13,28,20,23,2,67,33,14,17,28,25,2,15,18,8,20,9,3,,19,88,54,3,6,29,40,4,30,9,20,51,20,29,1,11,14,13,10,14,53,29,7,34,10,3,25,70,13,13,37,,45,0,19,0,20,56,27,4,30,3,5,16,14,1,2,3,45,1,10,16,23,19,8,33,13,2,19,8,0,6,16,,2,26,6,0,21,39,60,64,33,6,15,8,5,25,39,31,6,10,5,0,0,51,43,13,1,18,10,1,7,7,,0,0,0,1,1,1,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,28,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,1,7,6,0,0,,0,24,8,19,4,6,0,5,0,0,0,0,0,3,1,0,0,0,1,19,8,8,13,2,0,0,0,16,0,0,0,,0,30,1,0,0,0,1,8,0,28,0,8,0,0,0,0,12,7,17,8,22,6,6,4,1,2,6,2,1,9,,11,2,1,0,4,0,14,2,0,0,3,1,8,0,13,31,18,1,2,1,20,13,6,31,24,14,2,2,0,13,17,,5,2,14,7,2,9,6,0,36,0,3,2,21,34,19,27,3,81,46,16,15,29,27,2,14,18,9,23,8,5,,22,70,52,4,11,31,42,6,30,9,17,49,27,31,1,13,16,13,12,17,47,26,12,37,12,3,38,69,12,10,36,,43,0,17,0,13,62,28,4,28,4,5,23,19,2,2,6,46,1,12,18,25,20,13,27,14,2,20,9,0,6,15,,2,30,6,0,20,30,57,65,37,8,14,12,5,22,38,30,8,8,6,0,0,59,48,16,1,20,11,1,8,9,,0,0,0,1,1,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,14,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,23,5,0,0,,0,9,10,12,2,2,1,3,0,0,0,0,0,1,5,0,0,0,1,6,3,9,5,1,0,2,0,15,2,0,0,,1,32,9,1,4,0,5,8,6,28,0,7,0,0,0,0,12,8,23,8,14,11,3,19,7,0,2,7,1,2,,19,3,5,5,1,9,9,3,0,0,1,0,7,2,9,15,29,0,1,0,9,32,4,21,25,9,4,0,9,4,6,,14,1,5,41,29,10,3,4,15,0,37,86,25,9,23,48,5,62,16,30,15,14,28,5,9,12,38,27,7,5,,19,94,31,35,3,12,39,26,17,67,30,115,26,14,47,23,44,5,9,107,65,124,15,21,5,5,42,65,3,25,48,,55,0,7,0,6,39,40,8,31,26,13,6,33,32,29,17,37,4,2,3,14,31,50,9,7,25,7,14,0,8,12,,7,12,5,11,69,32,38,34,11,8,28,4,2,23,35,24,49,6,3,0,13,19,86,41,1,52,22,0,4,5,,0,8,2,6,1,12,23,39,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,37,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,33,5,0,0,0,17,3,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,4,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,6,1,0,4,5,0,0,,0,11,6,4,38,3,0,5,0,0,6,0,0,0,8,6,0,0,22,42,7,0,11,0,0,1,0,2,1,0,0,,6,14,31,10,13,0,16,4,51,13,4,12,0,0,0,0,29,12,43,13,17,11,5,7,15,0,1,28,0,0,,9,4,0,4,20,1,6,45,0,0,0,1,25,0,1,15,8,12,59,0,23,5,21,74,18,11,0,0,0,12,1,,71,46,58,25,25,5,24,40,25,4,26,25,3,18,8,33,3,48,49,14,10,14,18,13,83,135,213,109,1,3,,18,4,83,4,0,9,29,2,26,91,32,67,18,17,3,15,48,42,5,14,73,71,0,20,1,19,23,40,12,48,47,,33,7,28,0,25,92,7,4,16,35,68,7,6,2,6,1,20,1,0,1,34,16,2,16,14,0,6,1,9,1,5,,0,15,1,6,40,24,42,20,8,2,20,25,22,1,32,66,1,2,11,0,1,19,28,9,0,11,2,1,6,8,,5,47,0,26,7,127,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,21,4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,32,4,0,0,0,7,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,1,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,5,8,1,5,4,0,0,,0,20,4,15,15,5,0,3,0,1,8,0,0,3,6,2,0,0,16,20,8,4,14,1,0,3,0,12,3,0,0,,3,32,26,3,12,0,14,8,24,20,1,5,0,0,0,0,18,9,36,18,35,10,10,7,8,0,5,10,1,3,,4,2,1,3,8,4,11,15,0,0,2,5,14,0,8,21,12,6,18,0,23,8,17,63,31,30,2,0,0,8,10,,27,28,46,26,16,6,21,23,26,15,10,11,15,24,21,40,12,59,40,12,18,23,29,8,38,70,61,38,4,14,,19,35,58,17,2,23,43,9,30,49,31,45,18,36,12,18,28,29,9,14,51,35,2,33,9,15,25,55,18,24,28,,25,3,32,0,8,46,12,2,20,22,29,10,10,7,18,6,28,2,2,6,29,17,6,23,16,2,12,5,12,5,8,,1,19,6,6,30,28,34,25,19,11,22,18,8,9,28,47,3,10,8,1,3,29,35,10,0,13,3,2,12,9,,1,20,0,9,12,49,5,0,3,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,31,6,0,0,0,0,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,17,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,30,3,0,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,10,1,6,4,0,0,,0,22,4,16,8,5,0,4,0,1,5,0,0,3,4,1,0,0,10,18,8,4,14,1,0,2,0,13,2,0,0,,2,32,16,1,8,0,9,8,12,24,0,6,0,0,0,0,13,8,28,14,34,9,9,6,5,1,6,6,1,5,,2,2,1,2,5,3,16,6,0,0,3,4,10,0,11,30,16,3,7,0,22,10,12,49,30,24,1,0,0,9,14,,14,17,35,17,10,7,15,13,34,11,4,6,15,25,22,34,10,61,34,12,19,26,28,6,25,44,23,22,6,11,,19,61,55,14,3,26,43,8,31,30,27,45,18,36,9,16,20,22,10,14,50,28,3,34,10,10,23,63,17,18,29,,31,1,29,0,11,43,17,2,24,13,15,11,11,5,14,5,34,1,5,10,26,17,6,28,15,2,15,6,9,5,9,,2,21,7,4,25,34,42,39,24,10,20,13,5,16,31,39,4,11,6,1,2,36,38,10,0,15,5,2,11,10,,0,10,0,4,9,22,4,0,2,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,37,5,0,0,0,0,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,16,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,33,4,0,0,0,10,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,5,6,3,0,5,2,0,0,,0,14,4,10,20,5,0,2,0,2,10,0,0,2,8,4,0,0,22,22,7,1,12,0,0,4,0,8,4,0,0,,5,28,36,5,16,0,19,6,34,13,1,5,0,0,0,0,20,10,42,20,39,11,10,8,11,0,4,15,0,1,,5,2,0,5,11,6,10,21,0,0,1,7,16,0,5,16,7,8,26,0,24,6,22,66,27,33,2,0,0,9,6,,38,38,57,34,22,5,26,34,17,20,14,15,17,19,17,37,15,47,41,12,19,22,25,11,48,90,90,49,3,17,,15,14,54,22,1,13,41,10,27,66,37,43,14,29,16,20,32,34,6,14,54,43,1,30,6,20,18,49,20,31,25,,21,4,34,0,9,44,12,1,17,29,40,9,7,9,22,7,22,2,1,4,28,14,6,19,13,2,9,2,17,4,6,,1,12,5,8,31,26,26,16,10,10,23,23,10,4,22,51,3,9,7,2,3,18,32,9,0,13,2,2,11,8,,1,29,0,13,16,73,5,0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,25,8,0,0,0,0,,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,33,4,0,0,0,9,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,6,5,1,5,3,0,0,,0,17,4,12,18,5,0,3,0,2,9,0,0,2,7,3,0,0,20,21,7,2,13,1,0,3,0,9,4,0,0,,4,29,32,4,15,0,17,7,30,16,1,5,0,0,0,0,19,9,40,19,38,11,10,7,10,0,5,13,0,2,,4,2,0,4,10,5,10,19,0,0,1,6,15,0,6,18,9,8,23,0,24,7,20,65,28,32,2,0,0,9,8,,34,34,53,31,19,6,24,30,20,18,13,13,17,21,18,38,14,51,41,12,18,22,27,10,44,83,79,44,3,16,,17,22,55,20,1,17,42,10,28,60,35,44,15,31,14,20,31,32,7,14,53,40,1,31,7,18,20,52,19,28,26,,22,3,34,0,9,44,12,2,18,27,36,9,8,8,21,6,24,2,1,5,29,15,6,20,14,2,10,3,15,4,7,,1,15,5,7,30,27,29,19,13,11,23,21,9,6,24,49,3,10,7,2,3,22,33,9,0,13,2,2,11,8,,1,26,0,11,15,64,5,0,3,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,27,7,0,0,0,0,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,32,4,0,0,0,8,2,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,5,7,1,5,4,0,0,,0,19,4,14,17,5,0,4,0,1,7,0,0,3,6,3,0,0,17,23,8,3,13,1,0,3,0,11,3,0,0,,4,30,26,4,12,0,14,7,26,19,1,6,0,0,0,0,19,10,37,18,33,10,9,7,9,0,5,12,1,3,,4,2,1,3,10,4,10,18,0,0,2,5,15,0,7,20,11,7,22,0,23,8,18,64,30,27,2,0,0,9,10,,32,29,47,25,16,6,21,25,26,14,11,12,14,23,20,39,11,58,41,12,17,22,27,9,43,77,77,46,3,12,,19,32,61,16,2,22,42,8,30,53,31,48,18,34,11,18,30,30,9,14,53,39,2,32,8,15,25,54,17,27,30,,26,3,31,0,10,51,11,2,19,23,33,10,10,6,16,5,27,2,2,6,30,17,5,22,16,2,12,5,12,5,8,,1,19,6,6,31,28,35,25,18,10,22,18,10,9,28,49,3,9,8,1,2,28,35,10,0,13,3,2,11,9,,1,23,0,10,12,57,5,0,2,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,31,7,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,16,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,32,4,0,0,0,9,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,5,5,1,5,3,0,0,,0,17,4,12,19,5,0,3,0,1,8,0,0,2,7,3,0,0,19,23,7,2,13,1,0,3,0,9,3,0,0,,4,28,30,5,14,0,16,7,30,17,1,6,0,0,0,0,20,10,39,18,34,10,9,7,10,0,4,14,0,2,,5,2,1,4,11,4,10,20,0,0,1,5,16,0,6,19,9,8,25,0,24,7,19,65,28,28,2,0,0,9,8,,36,34,51,28,19,6,23,29,23,15,13,14,15,21,18,38,12,53,41,12,17,22,26,10,47,85,89,50,3,14,,18,24,59,17,1,18,41,9,28,60,33,47,16,31,12,19,32,32,8,14,54,42,1,30,7,17,22,52,18,29,29,,25,4,32,0,11,50,11,2,18,26,37,9,8,7,18,6,25,2,1,5,29,15,5,21,15,2,10,3,14,4,7,,1,16,5,6,31,27,32,22,14,10,22,20,10,6,26,51,3,9,8,1,3,24,33,9,0,13,3,2,11,9,,2,27,0,12,13,66,5,0,3,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,28,8,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,32,4,0,0,0,9,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,5,6,1,5,3,0,0,,0,18,4,12,18,5,0,3,0,1,9,0,0,2,7,3,0,0,19,22,7,3,13,1,0,3,0,10,3,0,0,,4,29,30,4,14,0,16,7,29,17,1,6,0,0,0,0,19,10,39,18,35,10,10,7,10,0,5,13,0,2,,4,2,1,4,10,5,10,19,0,0,1,5,15,0,7,19,10,7,23,0,24,7,19,65,29,29,2,0,0,9,8,,34,33,50,28,18,6,23,28,23,16,12,13,15,22,19,38,12,54,41,12,18,22,27,10,45,82,82,47,3,14,,18,26,58,18,1,18,41,9,29,58,33,46,16,32,13,19,31,32,8,14,53,40,1,31,7,17,22,52,18,28,28,,24,3,33,0,10,49,11,2,18,25,35,9,9,7,18,6,25,2,1,5,29,16,5,21,15,2,11,4,14,4,7,,1,16,5,6,31,27,32,22,15,10,22,20,10,7,26,50,3,9,8,1,3,24,34,9,0,13,3,2,11,9,,1,25,0,11,13,63,5,0,3,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,28,7,0,0,0,0,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,16,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

